Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
Roorkee,Uttarakhand,Haridwar,Ganga,Solani,29.88,77.89750000000001,"Himalayan Ganga Division,Haridwar",Base
Regauli,Uttar Pradesh,GORAKHPUR,Ganga,Rapti,27.016111111111112,83.21222222222222,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Marella,Andhra Pradesh,PRAKASAM,East flowing rivers between Mahanadi and Pennar,Gundlakamma,15.881944444444445,79.91000000000001,"Lower Krishna Division(LKD), Hyderabad",Base
Mathanguri,Assam,Baksa,Brahmaputra,Beki,26.782777777777778,90.95666666666666,"Middle Brahmaputra Division (MBD), Guwahati",Level
Langrimukh,Assam,Dima Hasao,Brahmaputra,Kopili,25.75777777777778,92.12444444444444,"Middle Brahmaputra Division (MBD), Guwahati",Base
NARORA Barrage,Uttar Pradesh,Buland Shahar,Ganga,Ganga,28.189444444444444,78.39611111111111,"Middle Ganga Division-II(MGD-II), Lucknow",Inflow
Maharo (Asanjor),Jharkhand,DUMKA,Ganga,Mayurakshi,24.32138888888889,87.20444444444445,"Damodar Division(DD), Asansol",Base
Lucknow,Uttar Pradesh,LUCKNOW,Ganga,Gomti,26.861944444444447,80.94611111111111,"Middle Ganga Division-II(MGD-II), Lucknow",Level
Doyang Hep Reservoir,Nagaland,WOKHA,Brahmaputra,Dhansiri,26.22972222222222,94.26611111111112,"Upper Brahmaputra Division (UBD), Dibrugarh",Inflow
Udalshe,Goa,SOUTH GOA,West flowing rivers from Tapi to Tadri,Ragada,15.415833333333333,74.15444444444445,"Cauvery Division, Bangaluru",Base
Bargi Reservoir,Madhya Pradesh,JABALPUR,Narmada,Narmada,22.93777777777778,79.92083333333333,"Narmada Division(ND), Bhopal",Inflow
Anthara,Rajasthan,BUNDI,Ganga,Ghodapachhad,25.39388888888889,75.77722222222222,"Chambal Division(CD), Jaipur",Base
Mahad,Maharashtra,Raigad,West flowing rivers from Tapi to Tadri,Savitri,18.092499999999998,73.46027777777778,"Upper Krishna Division(UKD), Pune",Base
Balat,Meghalaya,South West Khasi Hills,Minor rivers draining into Myanmar and Bangladesh,umngi,25.223888888888887,91.35527777777777,"Meghna Investigation Division(MID), Shillong",Base
Patan,Madhya Pradesh,JABALPUR,Narmada,Hiran,23.311666666666667,79.66277777777778,"Narmada Division(ND), Bhopal",Base
Varanasi,Uttar Pradesh,VARANASI,Ganga,Ganga,25.325833333333332,83.03999999999999,"Middle Ganga Division-III(MGD-III), Varanasi",Level
Gambhiri Dam,Rajasthan,CHITTORGARH,Ganga,Gambhir,24.699444444444445,74.71555555555555,"Chambal Division(CD), Jaipur",Inflow
Azmabad,Bihar,BHAGALPUR,Ganga,Ganga,25.33722222222222,87.26583333333333,"Lower Ganga Division-II(LGD-II), Patna",Base
Pandoh Dam_BBMB,Himachal Pradesh,MANDI,Indus,Beas,31.6725,77.06777777777778,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Tezu,Arunachal Pradesh,LOHIT,Brahmaputra,Lohit,27.910833333333333,96.17055555555557,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Simulia,West Bengal,PURULIYA,Ganga,Kangsabati,23.28777777777778,86.36027777777777,"Damodar Division(DD), Asansol",Base
Manendragarh,Chhattisgarh,KORIYA,Mahanadi,Hasdeo,23.20138888888889,82.21444444444445,"Mahanadi Division(MD), Burla",Base
Mahalgaon,Maharashtra,Gondia,Godavari,Wainganga,21.550555555555555,80.02666666666667,"Wainganga Division(WD), Nagpur",Base
Gelabil,Assam,GOLAGHAT,Brahmaputra,Doyang,26.233888888888888,93.97722222222222,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
OZERKHEDA,Maharashtra,Nashik,West flowing rivers from Tapi to Tadri,Wagh,20.10027777777778,73.27111111111111,"Executive Engineer, Tapi Division, Surat",Base
RAJMAHAL (SEASONAL),Jharkhand,Sahebganj,Ganga,Ganga,25.057222222222222,87.83555555555554,"Lower Ganga Division III(LGD-III), Berhampore",Base
DURGAPUR BARRAGE,West Bengal,PURBA BARDHAMAN,Ganga,Damodar,23.46638888888889,87.31638888888888,"Damodar Division(DD), Asansol",Inflow
Kakrahi,Uttar Pradesh,SIDDHARTHNAGAR,Ganga,Burhi Rapti,27.236666666666668,82.9961111111111,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Mount Abu,Rajasthan,SIROHI,West flowing rivers of Kutch and Saurashtra including Luni,Banas,24.586944444444445,72.70361111111112,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Badlapur,Maharashtra,Thane,West flowing rivers from Tapi to Tadri,Ulhas,19.16222222222222,73.25416666666666,"Upper Krishna Division(UKD), Pune",Base
THOTTATHINKADAVU,Kerala,KOZHIKODE,West flowing rivers from Tadri to Kanyakumari,Iruvazhinjipuzha,11.361944444444443,76.00194444444445,"Southern Western River Division(SWRD), Kochi",Base
Delhi Railway Bridge,Delhi,NORTH,Ganga,Yamuna,28.662499999999998,77.24888888888889,"Upper Yamuna Division(UYD), New Delhi",Level
Hipparagi Barrage,Karnataka,Bagalkote,Krishna,Krishna,16.55,75.16000000000001,"Lower Krishna Division(LKD), Hyderabad",Inflow
Sultanpur,Uttar Pradesh,SULTANPUR,Ganga,Gomti,26.275277777777777,82.0667,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Kuthnaur,Uttarakhand,Uttarkashi,Ganga,Yamuna,30.874166666666667,78.30333333333333,"Upper Yamuna Division(UYD), New Delhi",Base
Upper Indravati Dam,Odisha,Nabarangapur,Godavari,Indravathi,19.27611111111111,82.82833333333333,"Lower Godavari Division(LGD), Hyderabad",Inflow
Kheda,Gujarat,Kheda,Sabarmati,Watrak,22.745833333333334,72.68,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Birpur,Bihar,SUPAUL,Ganga,Kosi,26.52,86.93138888888889,"Lower Ganga Division-I(LGD-I), Patna",Base
NAGARAM,Telangana,KARIMNAGAR,Godavari,Maner,18.289166666666667,79.4738888888889,"Upper Godavari Division(UGD), Hyderabad",Base
Jauljibi,Uttarakhand,Pithoragarh,Ganga,Gauri Ganga,29.760555555555555,80.36944444444444,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Sonapur,West Bengal,NORTH DINAJPUR,Ganga,Mahananda,26.454166666666666,88.24444444444444,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
Kheri,Himachal Pradesh,SIRMAUR,Ganga,Giri,30.779999999999998,77.29777777777778,"Upper Yamuna Division(UYD), New Delhi",Base
Sonarpal (Narangi Markandi),Chhattisgarh,BASTAR,Godavari,Narangi,19.26972222222222,81.88388888888889,"Lower Godavari Division(LGD), Hyderabad",Base
Piprauli,Haryana,Nuh,Ganga,Ujjina(U.D.D),27.828055555555554,77.15805555555556,"Upper Yamuna Division(UYD), New Delhi",Base
Chharour Nalla,Himachal Pradesh,KULLU,Indus,Parvati River,31.918333333333333,77.18,"Snow Hydrology Division(SHD), Shimla",Base
Bagla,Himachal Pradesh,MANDI,Indus,Suketi Khad,31.641666666666666,76.94972222222222,"Snow Hydrology Division(SHD), Shimla",Base
Solang,Himachal Pradesh,KULLU,Indus,Beas,32.32138888888889,77.15416666666667,"Snow Hydrology Division(SHD), Shimla",Base
Bajaura,Himachal Pradesh,KULLU,Indus,Beas,31.850833333333334,77.17,"Snow Hydrology Division(SHD), Shimla",Base
Sullurpet,Andhra Pradesh,NELLORE,East flowing rivers between Pennar and Kanyakumari,Kalangi,13.707777777777777,80.01,"Hydrology Division(HD),Chennai",Base
NARAJOLE,West Bengal,West Medinipur,Ganga,Shilabati,22.579722222222223,87.61472222222221,"Damodar Division(DD), Asansol",Base
Jamtara,Jharkhand,JAMTARA,Ganga,Ajoy,23.977777777777778,86.85499999999999,"Damodar Division(DD), Asansol",Base
Kullu,Himachal Pradesh,KULLU,Indus,Beas,31.955277777777777,77.11416666666666,"Snow Hydrology Division(SHD), Shimla",Base
Manali,Himachal Pradesh,KULLU,Indus,Beas,32.2475,77.19083333333333,"Snow Hydrology Division(SHD), Shimla",Base
Porakudi,Tamil Nadu,Nagapattinam,Cauvery,Arasalar,10.903611111111111,79.70722222222223,"Hydrology Division(HD),Chennai",Base
Kerlapal (Malinger),Chhattisgarh,SUKMA,Godavari,-,18.291944444444447,81.57,"Lower Godavari Division(LGD), Hyderabad",Base
Tharnam,Telangana,ADILABAD,Godavari,Sathanalla,19.739444444444445,78.56444444444445,"Wainganga Division(WD), Nagpur",Base
Mahagaon (Pus),Maharashtra,Yavatmal,Godavari,Pus,19.796111111111113,77.77305555555556,"Wainganga Division(WD), Nagpur",Base
Krishnarajasagar Reservoir,Karnataka,Mandya,Cauvery,Cauvery,12.425594444444444,76.57249999999999,"Cauvery Division, Bangaluru",Inflow
Jaunpur,Uttar Pradesh,JAUNPUR,Ganga,Gomti,25.749166666666667,82.67194444444445,"Middle Ganga Division-III(MGD-III), Varanasi",Level
GUMMANUR,Tamil Nadu,Krishnagiri,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar,12.555000000000001,78.13833333333334,"Southern River Division(SRD), Coimbatore",Base
Seorinarayan,Chhattisgarh,JANJGIR - CHAMPA,Mahanadi,Mahanadi,21.71833333333333,82.5975,"Mahanadi Division(MD), Burla",Base
Maithon Reservoir,Jharkhand,DHANBAD,Ganga,Barakar,23.779999999999998,86.81,"Damodar Division(DD), Asansol",Inflow
MALAKKARA,Kerala,PATHANAMTHITTA,West flowing rivers from Tapi to Tadri,Pamba,9.329166666666666,76.66388888888889,"Southern Western River Division(SWRD), Kochi",Level
Asegaon,Maharashtra,Washim,Godavari,Penganga,20.033611111111114,76.95833333333334,"Wainganga Division(WD), Nagpur",Base
Ujjain,Madhya Pradesh,UJJAIN,Ganga,Shipra,23.175555555555558,75.75555555555556,"Chambal Division(CD), Jaipur",Base
RAJGHAT,Uttar Pradesh,LALITPUR,Ganga,Betwa,24.768055555555556,78.23611111111111,"Lower Yamuna Division(LYD), Agra",Base
Madurai,Tamil Nadu,Madurai,East flowing rivers between Pennar and Kanyakumari,Vaigai,9.933333333333334,78.11666666666666,"Southern River Division(SRD), Coimbatore",Level
Fakirabazar,Assam,KARIMGANJ,Barak and Others,Longai,24.860833333333336,92.29027777777777,"Meghna Investigation Division(MID), Shillong",Base
Mahidpur,Madhya Pradesh,UJJAIN,Ganga,Shipra,23.479999999999997,75.6375,"Chambal Division(CD), Jaipur",Base
AVERSHE,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari,Sita,13.52138888888889,74.88,"Southern Western River Division(SWRD), Kochi",Base
Jateon Barrage,Himachal Pradesh,SIRMAUR,Ganga,Giri,30.5875,77.46833333333333,"Upper Yamuna Division(UYD), New Delhi",Base
PRAKASHA(DAMARKHEDA),Maharashtra,Nandurbar,Tapi,Gomai,21.517777777777777,74.39694444444446,"Executive Engineer, Tapi Division, Surat",Base
Mekhliganj (R/B),West Bengal,COOCH BEHAR,Brahmaputra,Teesta,26.328888888888887,88.8625,"Lower Brahmaputra Division (LBD), Jalpaiguri",Level
Kapsi,Maharashtra,Wardha,Godavari,Wardha,20.43305555555556,78.5975,"Wainganga Division(WD), Nagpur",Base
Mathura (Gokul Barrage),Uttar Pradesh,MATHURA,Ganga,Yamuna,27.4425,77.71361111111112,"Upper Yamuna Division(UYD), New Delhi",Base
Jamsholaghat,Odisha,MAYURBHANJ,Subernarekha,Subarnarekha,22.21972222222222,86.71666666666667,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Rui,Maharashtra,Nanded,Godavari,Kayadhu,19.54138888888889,77.57777777777777,"Wainganga Division(WD), Nagpur",Base
GATA,Madhya Pradesh,BHIND,Ganga,Vesli,26.388333333333332,78.62333333333332,"Lower Yamuna Division(LYD), Agra",Base
LAKSHMANANPATTI,Tamil Nadu,Dindigul,Cauvery,Kodavanar,10.498055555555554,77.94583333333334,"Southern River Division(SRD), Coimbatore",Base
Suryagadha,Bihar,LAKHISARAI,Ganga,Ganga,25.2825,86.295,"Lower Ganga Division-II(LGD-II), Patna",Base
Sabrum,Tripura,SOUTH TRIPURA,Barak and Others,Muhari,22.99888888888889,91.72666666666667,"Meghna Division(MD), Silchar",Base
Kursela,Bihar,KATIHAR,Ganga,Kosi,25.424722222222222,87.23416666666667,"Lower Ganga Division-I(LGD-I), Patna",Level
Nizamsagar Reservoir,Telangana,KAMAREDDY,Godavari,Manjira,18.22,77.96000000000001,"Upper Godavari Division(UGD), Hyderabad",Inflow
Mettur Reservoir,Tamil Nadu,Salem,Cauvery,Cauvery,11.8,77.8,"Southern River Division(SRD), Coimbatore",Inflow
Chopan,Uttar Pradesh,SONBHADRA,Ganga,Sone,24.529722222222222,83.02305555555556,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Rho Basti,Arunachal Pradesh,TAWANG,Brahmaputra,Mago Chu,27.622777777777777,92.01361111111112,"North Eastern Investigation Division-III, Itanagar",Base
Kamgarpur,Telangana,ADILABAD,Godavari,Penganga,19.779166666666665,78.78138888888888,"Wainganga Division(WD), Nagpur",Base
Kesinga,Odisha,KALAHANDI,Mahanadi,Tel,20.198611111111113,83.21944444444445,"Mahanadi Division(MD), Burla",Base
Gandhavayal,Tamil Nadu,Coimbatore,Cauvery,Bhavani,11.374166666666667,76.99222222222222,"Southern River Division(SRD), Coimbatore",Base
Amraghat,Assam,CACHAR,Barak and Others,Sonai,24.605833333333333,92.9538888888889,"Meghna Investigation Division(MID), Shillong",Base
Taibpur,Bihar,KISHANGANJ,Ganga,Mahananda,26.3925,88.1575,"Lower Ganga Division-I(LGD-I), Patna",Level
Jalalpur,Assam,CACHAR,Barak and Others,-,25.0025,92.45666666666666,"Meghna Investigation Division(MID), Shillong",Base
MUSIRI,Tamil Nadu,Tiruchirappalli,Cauvery,Cauvery,10.938055555555556,78.44027777777778,"Southern River Division(SRD), Coimbatore",Level
Sehramau (South),Uttar Pradesh,Shahjhanpur,Ganga,Deoha,27.74361111111111,79.92888888888889,"Middle Ganga Division-II(MGD-II), Lucknow",Base
Gohira,Odisha,DEBAGARH,Brahmani and Baitarni,Brahmani,21.45777777777778,84.69166666666668,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Brahmnihalua,Odisha,RAYAGADA,East flowing rivers between Mahanadi and Pennar,Suvrnamukhi,19.052500000000002,83.43527777777778,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Karkota,Madhya Pradesh,SINGRAULI,Ganga,Rihand,23.94611111111111,82.67083333333333,"Middle Ganga Division-III(MGD-III), Varanasi",Base
BAMRUL,Maharashtra,Jalgaon,Tapi,Titur,20.662499999999998,75.27027777777778,"Executive Engineer, Tapi Division, Surat",Base
PANCHARATNA,Assam,GOALPARA,Brahmaputra,Brahmaputra,26.2094,90.5533,"Middle Brahmaputra Division (MBD), Guwahati",Base
Ballu Raina_BBMB,Himachal Pradesh,BILASPUR,Indus,Satluj,31.4136111111111,76.6097222222222,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Tawa at Tawakathi,Madhya Pradesh,BETUL,Narmada,Tawa,22.20111111111111,77.95722222222223,"Narmada Division(ND), Bhopal",Base
Purad,Maharashtra,Yavatmal,Godavari,Nirguda,19.964444444444442,79.02666666666667,"Wainganga Division(WD), Nagpur",Base
Patala,Maharashtra,Chandrapur,Godavari,Wardha,20.126944444444444,79.00138888888888,"Wainganga Division(WD), Nagpur",Base
Nagari,Maharashtra,Chandrapur,Godavari,Pothra,20.425555555555558,78.87444444444444,"Wainganga Division(WD), Nagpur",Base
Belgaon (Selu),Maharashtra,Wardha,Godavari,Bor,20.826666666666668,78.71777777777778,"Wainganga Division(WD), Nagpur",Base
Suldaguri,West Bengal,COOCH BEHAR,Brahmaputra,Torsa,26.253611111111113,89.61583333333333,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
Mukki,Madhya Pradesh,BALAGHAT,Narmada,Banjar,22.14938888888889,80.66561111111112,"Narmada Division(ND), Bhopal",Base
Kannauj,Uttar Pradesh,KANNAUJ,Ganga,Ganga,27.020833333333332,79.98305555555555,"Middle Ganga Division-II(MGD-II), Lucknow",Level
Mungoli (Township),Maharashtra,Yavatmal,Godavari,Penganga,19.864444444444445,79.125,"Wainganga Division(WD), Nagpur",Base
Umar at Imaliya,Madhya Pradesh,NARSIMHAPUR,Narmada,Narmada,22.998055555555556,79.43,"Narmada Division(ND), Bhopal",Base
Sitarganj,Uttarakhand,UDHAM SINGH NAGAR,Ganga,Deoha,29.041666666666668,79.76638888888888,"Middle Ganga Division-II(MGD-II), Lucknow",Base
NEORA,West Bengal,JALPAIGURI,Brahmaputra,Naora,26.879166666666666,88.77333333333333,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
NAPOKLU,Karnataka,Kodagu,Cauvery,Cauvery,12.314444444444446,75.69861111111112,"Cauvery Division, Bangaluru",Base
Todarpur,Uttar Pradesh,HARDOI,Ganga,Sukheta,27.584722222222222,79.995,"Middle Ganga Division-II(MGD-II), Lucknow",Base
Champasari,West Bengal,DARJILING,Ganga,Mahananda,26.739166666666666,88.42222222222223,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
THUMPAMON,Kerala,PATHANAMTHITTA,West flowing rivers from Tadri to Kanyakumari,Achankovil,9.227777777777778,76.7,"Southern Western River Division(SWRD), Kochi",Base
PALLIPALAYAM/Erode,Tamil Nadu,Namakkal,Cauvery,Cauvery,11.360555555555555,77.7461111111111,"Southern River Division(SRD), Coimbatore",Base
Ariankavu,Kerala,Kollam,Indus,Kallada,8.975277777777778,77.14916666666667,Hydrology Division Chengannur,Base
Bhishnur,Maharashtra,Wardha,Godavari,Wardha,21.109722222222224,78.12944444444443,"Wainganga Division(WD), Nagpur",Base
Bakalighat,Assam,KARBI ANGLONG,Brahmaputra,-,26.05388888888889,93.18111111111112,"Middle Brahmaputra Division (MBD), Guwahati",Base
TULARGRAM,Assam,CACHAR,Barak and Others,Sonai,24.71611111111111,92.885,"Meghna Division(MD), Silchar",Base
Mahnar,Bihar,VAISHALI,Ganga,Ganga,25.58277777777778,85.53666666666666,"Lower Ganga Division-II(LGD-II), Patna",Base
Safapora,Jammu & Kashmir,Bandipora,Indus,Jhelum,34.246694444444444,74.62322222222221,"Chenab Division(CD), Jammu",Level
Tonk,Rajasthan,TONK,Ganga,Banas,26.197222222222223,75.84166666666667,"Chambal Division(CD), Jaipur",Base
Kampur,Assam,NAGAON,Brahmaputra,Kopili,26.152777777777775,92.65333333333334,"Middle Brahmaputra Division (MBD), Guwahati",Level
SIBAPUR,Assam,CACHAR,Barak and Others,Barak,24.784444444444446,92.90722222222223,"Meghna Division(MD), Silchar",Base
NAUDHIYA,Madhya Pradesh,SIDHI,Ganga,Banas,24.191388888888888,81.47944444444444,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Madhwapur,Uttar Pradesh,SHRAWASTI,Ganga,Rapti,27.793055555555558,81.785,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Sunkesula Barrage,Andhra Pradesh,KURNOOL,Krishna,Tungabhadra,15.88,77.83,"Lower Krishna Division(LKD), Hyderabad",Inflow
GHANSADIH,Jharkhand,DHANBAD,Ganga,Damodar,23.71388888888889,86.3611111111111,"Damodar Division(DD), Asansol",Base
Mandla,Madhya Pradesh,MANDLA,Narmada,Narmada,22.598333333333333,80.36527777777778,"Narmada Division(ND), Bhopal",Level
Polavaram Irrigation Project,Andhra Pradesh,ELURU,Godavari,Godavari,17.2925,81.64361111111111,"Lower Godavari Division(LGD), Hyderabad",Inflow
BERIA,Jharkhand,GIRIDIH,Ganga,Barakar,24.041944444444447,86.4775,"Damodar Division(DD), Asansol",Base
KAILASHAHAR GDSQ SITE,Tripura,Unakoti,Barak and Others,Manu,24.3175,91.99388888888889,"Meghna Division(MD), Silchar",Level
NARAYANPUR,Uttar Pradesh,MIRZAPUR,Ganga,Ganga,25.20777777777778,83.01138888888889,"Middle Ganga Division-III(MGD-III), Varanasi",Base
BAHALPUR,Assam,DHUBRI,Brahmaputra,Champamati,26.319488888888888,90.46948888888889,"Middle Brahmaputra Division (MBD), Guwahati",Base
Saharghat,Bihar,MADHUBANI,Ganga,Adhwara,26.543055555555558,85.8561111111111,"Lower Ganga Division-I(LGD-I), Patna",Base
BYALADAHALLI,Karnataka,Davanagere,Krishna,Haridra,14.43388888888889,75.77972222222222,"Cauvery Division, Bangaluru",Base
KATRAGADDA,Andhra Pradesh,SRIKAKULAM,East flowing rivers between Mahanadi and Pennar,Vamsadhara,18.99361111111111,83.81194444444444,"RO, WQL-2, DOWLAISWARAM",Base
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,Indus,Satluj,31.415555555555553,76.43472222222222,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Upper Rimbi,Sikkim,GYALSINGH,Brahmaputra,Rimbi Khola,27.330833333333334,88.15194444444445,"Sikkim Investigation Division, Gangtok",Base
BIJRONI,Madhya Pradesh,SHIVPURI,Ganga,Sind,24.94472222222222,77.60944444444443,"Lower Yamuna Division(LYD), Agra",Base
THIRUVALAM,Tamil Nadu,Vellore,East flowing rivers between Pennar and Kanyakumari,Poini,12.98472222222222,79.26722222222222,"Hydrology Division(HD),Chennai",Base
Chitrasani,Gujarat,Banaskantha,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,24.28888888888889,72.49833333333333,"Executive Engineer, Mahi Divison, Gandhinagar",Base
DIPURU,Andhra Pradesh,NELLORE,Pennar,Boggeru,14.618611111111111,79.56083333333333,"Hydrology Division(HD),Chennai",Base
Manjlegaon,Maharashtra,Beed,Godavari,Sindhphana,19.15,76.18,"Upper Godavari Division(UGD), Hyderabad",Inflow
LALPUR,Uttar Pradesh,KANPUR DEHAT,Ganga,Sengar,26.307222222222222,79.92,"Lower Yamuna Division(LYD), Agra",Base
RD 72000 Silt Ejector Escape,Punjab,GURDASPUR,Indus,Beas,32.17583333333333,75.57,Executive Engineer-I/ NHP BBMB Chandigarh,Base
ADKASTHALA,Kerala,KASARAGOD,West flowing rivers from Tadri to Kanyakumari,Shiriya,12.674999999999999,75.115,"Southern Western River Division(SWRD), Kochi",Base
Beas at Naushera Mirthal,Punjab,HOSHIARPUR,Indus,Satluj,32.098333333333336,75.61138888888888,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Shergarh,Uttar Pradesh,BAREILLY,Ganga,Kichha (Gaula),28.68138888888889,79.33777777777777,"Middle Ganga Division-II(MGD-II), Lucknow",Base
SHINDKHEDA,Maharashtra,Dhule,Tapi,Pan,21.27472222222222,74.75166666666667,"Executive Engineer, Tapi Division, Surat",Base
Raska WeIr,Gujarat,Kheda,Sabarmati,Meshwa,22.904166666666665,72.74111111111111,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Dosni,Uttarakhand,Haridwar,Ganga,Solani,29.779999999999998,77.9618888888889,"Himalayan Ganga Division,Haridwar",Base
Saner at Chargawan,Madhya Pradesh,JABALPUR,Narmada,Saner,23.055555555555557,79.59861111111111,"Narmada Division(ND), Bhopal",Base
Gaurikund,Uttarakhand,Rudraprayag,Ganga,Mandakini,30.654444444444444,79.02805555555555,"Himalayan Ganga Division,Haridwar",Base
GULLING,Himachal Pradesh,LAHUL and SPITI,Indus,Pin,32.04277777777778,78.08194444444445,"Snow Hydrology Division(SHD), Shimla",Base
DEVRA,Madhya Pradesh,CHHATARPUR,Ganga,Shyamari,24.573055555555555,79.64305555555556,"Lower Yamuna Division(LYD), Agra",Base
Sukma,Chhattisgarh,SUKMA,Godavari,Sabari,18.384444444444444,81.66250000000001,"Lower Godavari Division(LGD), Hyderabad",Base
THENI,Tamil Nadu,Theni,East flowing rivers between Pennar and Kanyakumari,Suruliar,10.001111111111111,77.485,"Southern River Division(SRD), Coimbatore",Base
KAMALPUR,Tripura,DHALAI,Barak and Others,Dhalai,24.193055555555556,91.83583333333333,"Meghna Division(MD), Silchar",Base
Balakati,Odisha,KHORDHA,Mahanadi,Bhargavi,20.202222222222222,85.8625,"Mahanadi Division(MD), Burla",Base
Khab,Himachal Pradesh,KINNAUR,Indus,Satluj,31.80452777777778,78.64261111111112,"Snow Hydrology Division(SHD), Shimla",Base
KUDIGE,Karnataka,Kodagu,Cauvery,Cauvery,12.5025,75.96083333333334,"Cauvery Division, Bangaluru",Base
Indra at Khapriya,Madhya Pradesh,HOSHANGABAD,Narmada,Narmada,22.746111111111112,78.1588888888889,"Narmada Division(ND), Bhopal",Base
Tawa Reservoir,Madhya Pradesh,HOSHANGABAD,Narmada,Tawa,22.56222222222222,77.97527777777778,"Narmada Division(ND), Bhopal",Inflow
DRF,Assam,Baksa,Brahmaputra,Puthimari,26.775008333333332,91.69288611111112,"Middle Brahmaputra Division (MBD), Guwahati",Base
DISHERGARH,West Bengal,BARDDHAMAN,Ganga,Damodar,23.683888888888887,86.82305555555556,"Damodar Division(DD), Asansol",Base
Umsiang,Meghalaya,RI BHOI,Brahmaputra,Umsiang,26.074444444444445,92.16527777777779,"Meghna Investigation Division(MID), Shillong",Base
Baranwada,Rajasthan,SAWAI MADHOPUR,Ganga,Banas,26.002777777777776,76.67027777777778,"Chambal Division(CD), Jaipur",Base
Belsand,Bihar,SITAMARHI,Ganga,Bagmati,26.41444444444444,85.4,"Lower Ganga Division-I(LGD-I), Patna",Base
NAUTGHAT,Uttar Pradesh,JHANSI,Ganga,Betwa,25.391944444444444,78.66388888888889,"Lower Yamuna Division(LYD), Agra",Base
Kunturla (Machkund),Andhra Pradesh,ALLURI SITHARAMA RAJU,Godavari,Machkund,18.199166666666667,82.64972222222222,"Lower Godavari Division(LGD), Hyderabad",Base
Maujampur,Bihar,BHOJPUR,Ganga,Ganga,25.694166666666668,84.595,"Lower Ganga Division-II(LGD-II), Patna",Base
HATTIHOLE,Karnataka,Kodagu,Cauvery,Harangi,12.481666666666667,75.79444444444444,"Cauvery Division, Bangaluru",Base
Tuini (Tons),Uttarakhand,Dehradun,Ganga,Tons,30.939722222222223,77.84666666666666,"Upper Yamuna Division(UYD), New Delhi",Base
Shimoga,Karnataka,Shivamogga,Krishna,Tunga,13.926944444444445,75.585,"Cauvery Division, Bangaluru",Base
Purihansha,West Bengal,PURULIYA,Ganga,Kumari,23.073888888888888,86.36277777777777,"Damodar Division(DD), Asansol",Base
K. Agraharam,Telangana,JOGULAMBA(GADWAL),Krishna,Krishna,16.25777777777778,77.84027777777777,"Lower Krishna Division(LKD), Hyderabad",Base
Bana,Arunachal Pradesh,WEST KAMENG,Brahmaputra,Kamang,26.99999999996205,94.00000000002788,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Bihubar,Assam,SIVSAGAR,Brahmaputra,Dikhow,26.853333333333335,94.80055555555555,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Odendurai,Tamil Nadu,Coimbatore,Cauvery,Kallar,11.321666666666667,76.89277777777778,"Southern River Division(SRD), Coimbatore",Base
Murga Bridge,Arunachal Pradesh,TAWANG,Brahmaputra,Twang Chu,27.61388888888889,92.02638888888889,"North Eastern Investigation Division-III, Itanagar",Base
Aheri (Gudem Bridge),Maharashtra,Gadchiroli,Godavari,Pranhita,19.416666666666668,79.97222222222223,"Wainganga Division(WD), Nagpur",Base
NARHAN,Uttar Pradesh,CHANDAULI,Ganga,Karamnasa,25.209166666666665,83.32666666666667,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Gangpur Siswan,Bihar,SIWAN,Ganga,Ghagra,25.940555555555555,84.39222222222223,"Lower Ganga Division-II(LGD-II), Patna",Level
Pachegaon,Maharashtra,Ahmadnagar,Godavari,Pravara,19.53527777777778,74.83361111111111,"Upper Godavari Division(UGD), Hyderabad",Base
Talikot,Karnataka,Bijapur,Krishna,DonI,16.483611111111113,76.28444444444445,"Cauvery Division, Bangaluru",Base
