Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
Raysi,Uttarakhand,Haridwar,Ganga,Banganga,29.695,78.05944444444444,"Himalayan Ganga Division,Haridwar",Base
PULIKUKKU,Karnataka,Dakshin Kannada,West flowing rivers from Tadri to Kanyakumari,Kumaradhara,12.71111111111111,75.46916666666667,"Southern Western River Division(SWRD), Kochi",Base
Malkhed,Karnataka,Kalaburagi,Krishna,Kagina,17.203333333333333,77.1563888888889,"Lower Krishna Division(LKD), Hyderabad",Base
Jhanjharpur,Bihar,MADHUBANI,Ganga,Kamalabalan,26.22694444444444,86.25611111111111,"Lower Ganga Division-I(LGD-I), Patna",Level
BURHANPUR,Madhya Pradesh,RAJGARH,Tapi,Tapi,21.298333333333336,76.23611111111111,"Executive Engineer, Tapi Division, Surat",Base
Bishunpur,Bihar,DARBHANGA,Ganga,Bagmati,26.0325,85.81472222222222,"Lower Ganga Division-I(LGD-I), Patna",Base
MOORANG,Himachal Pradesh,KINNAUR,Indus,Satluj,31.605833333333333,78.43611111111112,"Snow Hydrology Division(SHD), Shimla",Base
MADHUBAN DAM,Gujarat,Valsad,West flowing rivers from Tapi to Tadri,Daman Ganga,20.19,73.06,"Executive Engineer, Tapi Division, Surat",Inflow
BARMUL,Odisha,CUTTACK,,,20.503055555555555,84.89027777777778,"Mahanadi Division(MD), Burla",Base
KATWA,West Bengal,PURBA BARDHAMAN,Ganga,Bhagirathi-II (WB)*,23.648777777777777,88.14046111111112,"Lower Ganga Division III(LGD-III), Berhampore",Base
Nasik,Maharashtra,Nashik,Godavari,Godavari,20.001944444444444,73.80333333333333,"Upper Godavari Division(UGD), Hyderabad",Level
Singavaram,Andhra Pradesh,ANANTAPUR,Pennar,Chitravathi,14.597777777777779,78.01333333333334,"Hydrology Division(HD),Chennai",Base
Barkisuriya,Jharkhand,GIRIDIH,Ganga,Barakar,24.221944444444443,85.90111111111112,"Damodar Division(DD), Asansol",Base
KHARIDWAR,West Bengal,PURULIYA,Ganga,Kumari,23.000694444444445,86.63944444444445,"Damodar Division(DD), Asansol",Base
SITAMARHI,Uttar Pradesh,SANT RAVIDAS NAGAR,Ganga,Ganga,25.27722222222222,82.28722222222223,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Tufanganj,West Bengal,COOCH BEHAR,Brahmaputra,Raidak-I,26.308611111111112,89.68194444444445,"Lower Brahmaputra Division (LBD), Jalpaiguri",Level
Abna at Khandwa,Madhya Pradesh,Khandwa,Narmada,Narmada,21.813055555555557,76.325,"Narmada Division(ND), Bhopal",Base
Malaprabha Dam,Karnataka,Belgaum,Krishna,Malaprabha,15.821408333333332,75.09671388888889,"Cauvery Division, Bangaluru",Inflow
Sihthangpui,Mizoram,LAWNGTLAI,Minor rivers draining into Myanmar and Bangladesh,Kolodyne,22.42361111111111,92.94269444444444,"North Eastern Investigation Division-II, Aizawal",Base
Swaroopganj,Rajasthan,SIROHI,West flowing rivers of Kutch and Saurashtra including Luni,Banas,24.663055555555555,72.91277777777778,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Penneswaramadam,Tamil Nadu,Krishnagiri,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar,12.395555555555555,78.24583333333334,"Hydrology Division(HD),Chennai",Base
Namsai,Arunachal Pradesh,Namsai,Brahmaputra,Nao Dehing,27.635555555555555,95.84805555555555,"Upper Brahmaputra Division (UBD), Dibrugarh",Level
Ratanpuri,Uttar Pradesh,MUZAFFARNAGAR,Ganga,Kali,29.273055555555555,77.6,"Upper Yamuna Division(UYD), New Delhi",Base
Doomdooma,Assam,TINSUKIA,Brahmaputra,Dibru,27.5675,95.55027777777778,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
SUNDARPUR,West Bengal,MURSHIDABAD,Ganga,Mayurakshi,23.88111111111111,87.94194444444445,"Damodar Division(DD), Asansol",Base
Sardar Sarovar Project_Gujarat Reservoir,Gujarat,Narmada,Narmada,Narmada,21.82472222222222,73.74166666666667,"Executive Engineer, Tapi Division, Surat",Inflow
Arsadpur,Uttar Pradesh,GHAZIPUR,Ganga,Maghai,25.666666666666668,83.55416666666666,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Kiwaibalenga (Bawardhi),Chhattisgarh,KONDAGAON,Godavari,Bawardhi,19.64472222222222,81.55138888888888,"Lower Godavari Division(LGD), Hyderabad",Base
Belkund at Ghughra,Madhya Pradesh,JABALPUR,Narmada,Narmada,23.486666666666668,80.19638888888889,"Narmada Division(ND), Bhopal",Base
Keolari,Madhya Pradesh,SEONI,Godavari,Wainganga,22.38138888888889,79.89972222222222,"Wainganga Division(WD), Nagpur",Base
PARAMAKUDI,Tamil Nadu,Ramanathapuram,East flowing rivers between Pennar and Kanyakumari,Vaigai,9.553333333333335,78.58638888888889,"Southern River Division(SRD), Coimbatore",Base
Chakrar at Gadasarai,Madhya Pradesh,DINDORI,Narmada,Narmada,22.82638888888889,81.32444444444444,"Narmada Division(ND), Bhopal",Base
Diprang Gaon,Assam,MARIGAON,Brahmaputra,Kopili,26.17638888888889,92.08638888888889,"Middle Brahmaputra Division (MBD), Guwahati",Base
PALASIPARA (SEASONAL),West Bengal,NADIA,Ganga,Jalangi,23.79416666666667,88.41805555555555,"Lower Ganga Division III(LGD-III), Berhampore",Base
KUNIYIL,Kerala,MALAPPURAM,West flowing rivers from Tapi to Tadri,Chaliyar,11.239444444444443,76.02333333333333,"Southern Western River Division(SWRD), Kochi",Base
Gandhighat,Bihar,PATNA,Ganga,Ganga,25.623333333333335,85.17111111111112,"Lower Ganga Division-II(LGD-II), Patna",Level
Khairmal,Odisha,BAUDH,Mahanadi,Mahanadi,20.828333333333333,83.98,"Mahanadi Division(MD), Burla",Base
Krishnai,Assam,GOALPARA,Brahmaputra,Krishnai,26.02722222222222,90.66944444444445,"Middle Brahmaputra Division (MBD), Guwahati",Base
Kolhachak,Bihar,PATNA,Ganga,Dhardha,25.35138888888889,85.0936111111111,"Lower Ganga Division-II(LGD-II), Patna",Base
THIRUVARAMBU,Tamil Nadu,Kanyakumari,West flowing rivers from Tadri to Kanyakumari,Kodaiyar,8.364166666666666,77.25888888888889,"Southern Western River Division(SWRD), Kochi",Base
MAIGHAT,Uttar Pradesh,JAUNPUR,Ganga,Gomti,25.63888888888889,82.8611111111111,"Middle Ganga Division-III(MGD-III), Varanasi",Base
ELCHIREDDYPALLI (Peddavagu),Telangana,BHADRADRI,Godavari,Peddavagu,18.040555555555557,80.715,"Lower Godavari Division(LGD), Hyderabad",Base
Kurula,Odisha,GANJAM,East flowing rivers between Mahanadi and Pennar,Godahada,19.454166666666666,84.70472222222223,"Eastern Rivers Division(ERD), Bhubaneswar",Base
CHITRANJAN,West Bengal,PASCHIM BARDHAMAN,Ganga,Ajoy,23.873055555555556,86.93027777777779,"Damodar Division(DD), Asansol",Base
Tumnar (Dantewara),Chhattisgarh,DANTEWADA,Godavari,Dantewara,19.01222222222222,81.2325,"Lower Godavari Division(LGD), Hyderabad",Base
Jotasan,Gujarat,Sabarkantha,Sabarmati,Wakal,24.355555555555558,73.16805555555555,"Executive Engineer, Mahi Divison, Gandhinagar",Base
SATNA,Madhya Pradesh,SATNA,Ganga,Tons,24.54888888888889,80.90666666666667,"Middle Ganga Division-III(MGD-III), Varanasi",Base
BODELI,Gujarat,Vadodara,Narmada,Orsang,22.265,73.72722222222222,"Executive Engineer, Tapi Division, Surat",Base
Villupuram,Tamil Nadu,Viluppuram,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar,11.870555555555557,79.45944444444444,"Hydrology Division(HD),Chennai",Base
D/S HOSHANGABAD,Madhya Pradesh,SEHORE,Narmada,Narmada,22.7575,77.68805555555556,"Narmada Division(ND), Bhopal",Base
Desangpani,Assam,Charaideo,Brahmaputra,Desang,27.046666666666667,94.91222222222223,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Hiran at Singaldeep,Madhya Pradesh,JABALPUR,Narmada,Hiran,23.38611111111111,79.9088888888889,"Narmada Division(ND), Bhopal",Base
Kantamal,Odisha,BAUDH,Mahanadi,Tel,20.654999999999998,83.7275,"Mahanadi Division(MD), Burla",Base
