State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
5,64,330,800327,6,0,WARD,Almora (NPP) WARD NO.-0006,Urban,825,3307,1673,1634,291,156,135,43,28,15,10,5,5,2887,1483,1404,420,190,230,964,734,230,874,676,198,2,2,0,4,4,0,15,14,1,853,656,197,90,58,32,6,3,3,3,3,0,2,2,0,79,50,29,62,36,26,0,0,0,1,1,0,0,0,0,61,35,26,28,22,6,6,3,3,2,2,0,2,2,0,18,15,3,2343,939,1404
5,64,330,800327,7,0,WARD,Almora (NPP) WARD NO.-0007,Urban,690,2949,1485,1464,302,164,138,597,313,284,25,14,11,2549,1300,1249,400,185,215,857,661,196,831,636,195,0,0,0,2,1,1,0,0,0,829,635,194,26,25,1,1,1,0,0,0,0,0,0,0,25,24,1,25,24,1,1,1,0,0,0,0,0,0,0,24,23,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2092,824,1268
5,64,330,800327,8,0,WARD,Almora (NPP) WARD NO.-0008,Urban,1088,4619,2374,2245,406,235,171,244,117,127,27,16,11,4004,2107,1897,615,267,348,1187,948,239,1160,933,227,0,0,0,1,1,0,13,13,0,1146,919,227,27,15,12,0,0,0,0,0,0,2,1,1,25,14,11,27,15,12,0,0,0,0,0,0,2,1,1,25,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3432,1426,2006
5,64,330,800327,9,0,WARD,Almora (NPP) WARD NO.-0009,Urban,514,2402,1128,1274,198,114,84,362,181,181,55,26,29,2098,989,1109,304,139,165,627,483,144,594,460,134,0,0,0,0,0,0,5,4,1,589,456,133,33,23,10,1,1,0,0,0,0,0,0,0,32,22,10,31,23,8,1,1,0,0,0,0,0,0,0,30,22,8,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1775,645,1130
5,64,330,800327,10,0,WARD,Almora (NPP) WARD NO.-0010,Urban,812,3904,2054,1850,382,211,171,2625,1313,1312,3,1,2,3112,1693,1419,792,361,431,1133,961,172,923,783,140,1,1,0,15,8,7,2,2,0,905,772,133,210,178,32,1,0,1,0,0,0,1,1,0,208,177,31,105,87,18,1,0,1,0,0,0,0,0,0,104,87,17,105,91,14,0,0,0,0,0,0,1,1,0,104,90,14,2771,1093,1678
5,64,330,800327,11,0,WARD,Almora (NPP) WARD NO.-0011,Urban,862,3839,2014,1825,355,190,165,668,372,296,21,13,8,3241,1741,1500,598,273,325,1116,919,197,1093,903,190,0,0,0,0,0,0,5,5,0,1088,898,190,23,16,7,1,1,0,0,0,0,1,1,0,21,14,7,19,14,5,1,1,0,0,0,0,1,1,0,17,12,5,4,2,2,0,0,0,0,0,0,0,0,0,4,2,2,2723,1095,1628
5,64,331,0,0,0,SUB-DISTRICT,Someshwar,Total,9697,40282,18214,22068,5324,2762,2562,12720,5931,6789,82,38,44,27569,14380,13189,12713,3834,8879,19130,8114,11016,9495,4777,4718,5418,1570,3848,634,339,295,108,89,19,3335,2779,556,9635,3337,6298,6992,1837,5155,1576,687,889,55,35,20,1012,778,234,7757,2650,5107,5519,1343,4176,1332,601,731,46,31,15,860,675,185,1878,687,1191,1473,494,979,244,86,158,9,4,5,152,103,49,21152,10100,11052
5,64,331,0,0,0,SUB-DISTRICT,Someshwar,Rural,9697,40282,18214,22068,5324,2762,2562,12720,5931,6789,82,38,44,27569,14380,13189,12713,3834,8879,19130,8114,11016,9495,4777,4718,5418,1570,3848,634,339,295,108,89,19,3335,2779,556,9635,3337,6298,6992,1837,5155,1576,687,889,55,35,20,1012,778,234,7757,2650,5107,5519,1343,4176,1332,601,731,46,31,15,860,675,185,1878,687,1191,1473,494,979,244,86,158,9,4,5,152,103,49,21152,10100,11052
5,64,331,0,0,0,SUB-DISTRICT,Someshwar,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,64,332,0,0,0,SUB-DISTRICT,Jainti,Total,6349,30981,14809,16172,4761,2444,2317,7583,3767,3816,46,25,21,19708,11182,8526,11273,3627,7646,16513,7600,8913,12055,5289,6766,10300,3896,6404,291,213,78,100,83,17,1364,1097,267,4458,2311,2147,3514,1601,1913,115,55,60,67,46,21,762,609,153,3042,1560,1482,2349,1049,1300,94,40,54,46,37,9,553,434,119,1416,751,665,1165,552,613,21,15,6,21,9,12,209,175,34,14468,7209,7259
