State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
21,377,2909,801833,34,0,WARD,Baleswwar Industrial Estate (OG) (Ward 34) WARD NO.-0034 (Rural MDDS CODE:394273),Urban,45,202,105,97,26,16,10,11,6,5,79,46,33,147,84,63,55,21,34,68,51,17,67,50,17,0,0,0,3,2,1,1,1,0,63,47,16,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,54,80
21,377,2909,801833,35,0,WARD,Baleswwar Industrial Estate (OG) (Ward 35) WARD NO.-0035 (Rural MDDS CODE:394273),Urban,383,1728,916,812,158,82,76,127,63,64,153,75,78,1390,770,620,338,146,192,529,479,50,397,368,29,2,2,0,2,2,0,8,8,0,385,356,29,132,111,21,0,0,0,8,6,2,4,4,0,120,101,19,126,107,19,0,0,0,8,6,2,4,4,0,114,97,17,6,4,2,0,0,0,0,0,0,0,0,0,6,4,2,1199,437,762
21,377,2909,801833,36,0,WARD,Baleswwar Industrial Estate (OG) (Ward 36) WARD NO.-0036 (Rural MDDS CODE:394273),Urban,174,773,405,368,58,32,26,34,16,18,18,11,7,703,369,334,70,36,34,250,207,43,192,158,34,1,0,1,4,1,3,4,4,0,183,153,30,58,49,9,1,0,1,0,0,0,8,6,2,49,43,6,27,20,7,1,0,1,0,0,0,3,2,1,23,18,5,31,29,2,0,0,0,0,0,0,5,4,1,26,25,1,523,198,325
21,377,2909,801833,37,0,WARD,Baleswwar Industrial Estate (OG) (Ward 37) WARD NO.-0037 (Rural MDDS CODE:394273),Urban,315,1368,712,656,138,70,68,17,9,8,118,62,56,1122,605,517,246,107,139,478,376,102,453,368,85,0,0,0,74,57,17,6,3,3,373,308,65,25,8,17,2,1,1,1,0,1,1,0,1,21,7,14,24,7,17,2,1,1,1,0,1,1,0,1,20,6,14,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,890,336,554
21,377,2909,801833,38,0,WARD,Baleswwar Industrial Estate (OG) (Ward 38) WARD NO.-0038 (Rural MDDS CODE:394273),Urban,90,428,215,213,33,12,21,23,11,12,0,0,0,374,192,182,54,23,31,127,118,9,121,114,7,2,2,0,1,1,0,4,4,0,114,107,7,6,4,2,0,0,0,0,0,0,1,0,1,5,4,1,6,4,2,0,0,0,0,0,0,1,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,97,204
21,377,2909,801833,39,0,WARD,Baleswwar Industrial Estate (OG) (Ward 39) WARD NO.-0039 (Rural MDDS CODE:394273),Urban,1485,6269,3197,3072,671,351,320,607,314,293,425,201,224,5154,2696,2458,1115,501,614,1956,1696,260,1820,1611,209,11,10,1,55,39,16,100,92,8,1654,1470,184,136,85,51,9,5,4,12,9,3,20,14,6,95,57,38,103,66,37,9,5,4,8,6,2,20,14,6,66,41,25,33,19,14,0,0,0,4,3,1,0,0,0,29,16,13,4313,1501,2812
21,377,2909,801833,40,0,WARD,Baleswwar Industrial Estate (OG) (Ward 40) WARD NO.-0040 (Rural MDDS CODE:394273),Urban,371,1400,711,689,160,86,74,40,23,17,455,227,228,934,515,419,466,196,270,464,374,90,428,356,72,6,6,0,13,11,2,35,29,6,374,310,64,36,18,18,0,0,0,2,2,0,2,1,1,32,15,17,31,14,17,0,0,0,2,2,0,2,1,1,27,11,16,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,936,337,599
21,377,2909,801833,41,0,WARD,Baleswwar Industrial Estate (OG) (Ward 41) WARD NO.-0041 (Rural MDDS CODE:394273),Urban,644,2794,1434,1360,332,175,157,134,66,68,696,344,352,1998,1097,901,796,337,459,1026,768,258,865,734,131,11,11,0,156,100,56,97,95,2,601,528,73,161,34,127,0,0,0,14,4,10,10,2,8,137,28,109,151,30,121,0,0,0,12,3,9,8,1,7,131,26,105,10,4,6,0,0,0,2,1,1,2,1,1,6,2,4,1768,666,1102
21,377,2909,801833,42,0,WARD,Baleswwar Industrial Estate (OG) (Ward 42) WARD NO.-0042 (Rural MDDS CODE:394273),Urban,422,1826,936,890,215,113,102,152,76,76,385,187,198,1422,774,648,404,162,242,579,484,95,536,460,76,8,7,1,57,55,2,8,6,2,463,392,71,43,24,19,2,0,2,2,1,1,1,1,0,38,22,16,42,24,18,2,0,2,2,1,1,1,1,0,37,22,15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1247,452,795
21,377,2909,801833,43,0,WARD,Baleswwar Industrial Estate (OG) (Ward 43) WARD NO.-0043 (Rural MDDS CODE:394273),Urban,96,479,236,243,91,42,49,24,11,13,221,106,115,287,156,131,192,80,112,152,122,30,105,95,10,1,1,0,15,15,0,2,2,0,87,77,10,47,27,20,0,0,0,16,10,6,2,2,0,29,15,14,38,20,18,0,0,0,11,6,5,1,1,0,26,13,13,9,7,2,0,0,0,5,4,1,1,1,0,3,2,1,327,114,213
